Straßenname;Hinweis_zum_Straßennamen;Planquadrat_von;Planquadrat_bis;Lage_im_Straßennetz_von_Straße;Lage_im_Straßennetz_bis_Straße;Stadtteilname;Postleitzahl;Straßenschluessel-Nr.;ungerade_Haus-Nr._von;ungerade_Haus-Nr._bis;gerade_Haus-Nr._von;gerade_Haus-Nr._bis;Stadtteil-Nr.
Holunderstraße;;4281;4381;Weißdornstraße;Hortensienstraße;Stockum;40474;1960;;;;;51
Holunderweg;;4588;;Im Heidkamp;nach Norden;Angermund;40489;597;;;;;55
Holzkamp;siehe Am H.;;;;;;;;;;;;
Holzkampsweg;;5274;5275;Flachskampstraße;Flachskampstraße;Unterbach;40627;792;;;;;84
Holzstraße;;4275;4276;Franziusstraße;Weizenmühlenstraße;Hafen;40221;1961;;;;;33
Homberger Straße;;4479;;Cecilienallee;Kaiserswerther Straße;Golzheim;40474;1962;;;;;16
Hompeschstraße;;4679;;Grunerstraße;Sybelstraße;Düsseltal;40239;1963;;;;;23
Hoppengarten;;4589;;Koppelskamp;Koppelskamp;Angermund;40489;598;;;;;55
Horionplatz;;4476;;Carlstor;Haroldstraße;Carlstadt;40213;1964;;;;;12
Horion-Weg;siehe Emma-Horion-Weg;;;;;;;;;;;;
Hortensienstraße;;4381;;Stockumer Kirchstraße;Lilienstraße;Stockum;40474;1966;;;;;51
Hospitalstraße;;5070;; Benrather Schlossallee;Münchener Straße;Benrath;40597;1967;;;;;95
Houben-Straße;siehe Karl-H.-Str.;;;;;;;;;;;;
Howeweg;;4681;;Hördtweg;Scheffelstraße;Mörsenbroich;40470;1968;;;;;64
Hoxbachstraße;;5171;5271;Forststraße;Hasselsstraße;Benrath;40599;1970;1;45;;;95
Hoxbachstraße;;5171;5271;Forststraße;Hasselsstraße;Hassels;40599;1970;47;999;2;998;98
Hubbelrather Straße;;4676;4677;Mettmanner Straße;Höherweg;Flingern Süd;40233;1971;;;;;21
Hubert-Hermes-Straße;;4180;;Oberlöricker Str.;Bonifatiusstraße;Lörick;40547;1707;;;;;43
Hubertus-Ring;siehe Sankt-Hubertus-Ring;;;;;;;;;;;;
Hubertusstraße;;4376;4476;Stromstraße;Jürgensplatz;Unterbilk;40219;1972;;;;;32
Huch-Straße;siehe Ricarda-H.-Str.;;;;;;;;;;;;
Hückeswagener Straße;;4873;4773;Bruchhausenstraße;Undinenstraße;Wersten;40591;1974;;;;;91
Hügelstraße;;4871;4872;Kölner Landstraße;Werstener Friedhofstraße;Wersten;40591;1975;;;48;48;91
Hügelstraße;;4871;4872;Kölner Landstraße;Werstener Friedhofstraße;Wersten;40591;1975;59;999;50;998;91
Hügelstraße;;4871;4872;Kölner Landstraße;Werstener Friedhofstraße;Holthausen;40589;1975;1;53;2;46;93
Hügelstraße;;4871;4872;Kölner Landstraße;Werstener Friedhofstraße;Holthausen;40589;1975;55;57;;;93
Hühnerweg;;4588;;Angermunder Straße;nach Nordwesten;Angermund;40489;599;;;;;55
Hülchrather Straße;;4374;;Uedesheimer Straße;Fritz-Reuter-Straße;Bilk;40221;1976;;;;;36
Hülsdeller Weg;;5480;5581;Bergische Landstraße;Ratinger Landstraße;Hubbelrath;40629;718;;;;;74
Hülserhof;siehe Am H.;;;;;;;;;;;;
Hülsestraße;;4381;;Niederrheinstraße;Lilienthalstraße;Stockum;40474;1977;;;;;51
Hülsmeyerplatz;;4781;;Bochumer Straße;Westfalenstraße;Rath;40472;3649;;;;;63
Hülsmeyerstraße;;5080;5180;Luckemeyerstraße;nach Osten;Ludenberg;40629;3268;;;;;73
Hünefeldstraße;;4282;;Niederrheinstraße;Lilienthalstraße;Lohausen;40474;1978;;;;;52
Hürthstraße;;5075;;Vennhauser Allee;Schweitzerstraße;Vennhausen;40627;1979;;;;;83
Hüttenhof;siehe Am H.;;;;;;;;;;;;
Hüttenstraße;;4575;4476;Graf-Adolf-Straße;Oberbilker Allee;Friedrichstadt;40215;1980;1;99;2;110;31
Hüttenstraße;;4575;4476;Graf-Adolf-Straße;Oberbilker Allee;Oberbilk;40227;1980;101;999;112;998;37
Hüttmannstraße;;4282;;Lohauser Dorfstraße;Anna-von-Krane-Straße;Lohausen;40474;1981;;;;;52
Huferfeld;siehe im H.;;;;;;;;;;;;
Hugo-Viehoff-Straße;;4480;4580;Am Nordfriedhof;Schimmelbuschstr.;Derendorf;40468;1982;1;81;2;64;15
Hugo-Viehoff-Straße;;4480;4580;Am Nordfriedhof;Schimmelbuschstr.;Derendorf;40468;1982;83;999;66;998;15
Hugo-Wilderer-Weg;;5269;5268;Corellistraße;Corellistraße;Urdenbach;40593;1983;;;;;96
Humboldtstraße;;4678;4677;Grafenberger Allee;Rethelstraße;Düsseltal;40237;1985;;;;;23
Humperdinckstraße;;5169;;Hildener Straße;Brucknerstraße;Benrath;40593;1986;;;;;95
Hunsrückenstraße;;4477;;Kay-und-Lore-Lorentz-Platz;Flinger Straße;Altstadt;40213;1987;;;;;11
Huschbergerstraße;;4476;;Bahnstraße;Grünstraße;Stadtmitte;40212;1988;;;;;13
Huvestraße;;4770;;Am Broichgraben;Itterstraße;Itter;40589;1989;;;;;97
Hymgasse;;4078;4177;Nikolaus-Knopp-Platz;Rheinallee;Heerdt;40549;1990;;;;;42
Ickerswarder Straße;;4772;4671;Kölner Landstraße;Am Bärenkamp;Wersten;40589;1991;1;185;2;184;91
Ickerswarder Straße;;4772;4671;Kölner Landstraße;Am Bärenkamp;Himmelgeist;40589;1991;187;999;186;998;92
Icklack;siehe An der I.;;;;;;;;;;;;
Ikarusstraße;;4283;;Spielberger Weg;nach Norden;Lohausen;40474;1992;;;;;52
Ikenstraße;;4978;;Benderstraße;Lakronstraße;Gerresheim;40625;1993;;;;;71
Ilbeckweg;;5482;;Stadtgrenze;nach Süden;Hubbelrath;40629;742;;;;;74
Ilexweg;;4488;;Ginsterweg;Angermunder Straße;Angermund;40489;723;;;;;55
Ilvericher Straße;;4079;4179;Löricker Straße;Büdericher Straße;Lörick;40547;1995;;;;;43
Im Besental;;4771;4770;Münchener Straße;Am Steinebrück;Itter;40589;3893;;;;;97
Im Broich;;5274;5173;Vennstraße;nach Südwesten;Unterbach;40627;793;;;;;84
Im Brühl;;5076;5176;Morper Straße;Heyestraße;Gerresheim;40625;1996;;;;;71
Im Butzbroich;;5174;5274;Kleiner Torfbruch;nach Nordwesten;Unterbach;40627;794;;;;;84
Im Dämmergrund;;4779;;Vinckestraße;Eugen-Richter-Str.;Mörsenbroich;40470;1997;;;;;64
Im Dahlacker;;4474;4374;Planetenstraße;Aachener Straße;Bilk;40223;1998;;;;;36
Im Diepental;;5070;5069;Pigageallee;nach Westen;Benrath;40597;3296;;;;;95
Im Geesterfeld;;4481;;Thewissenweg;An der Golzh. Heide;Unterrath;40468;3257;;;;;62
Im Großen Winkel;;4589;;Angermunder Straße;Angerbenden;Angermund;40489;600;;;;;55
Im Grund;;4282;4284;Niederrheinstraße;Lohauser Dorfstr.;Lohausen;40474;2000;;;;;52
Im Hasengraben;;4771;4770;An der Jagengrenze;nach Norden;Itter;40589;3169;;;;;97
Im Heerdter Feld;;4078;;Krefelder Straße;Bayerstraße;Heerdt;40549;3755;;;;;42
Im Heidewinkel;;5079;;Gräulinger Straße;nach Südwesten;Gerresheim;40625;2001;;;;;71
Im Heidkamp;;4588;;Heiderweg;In den Kämpen;Angermund;40489;601;;;;;55
Im Hochfeld;;5275;5374;Stadtgrenze;nach Nordwesten;Unterbach;40627;845;;;;;84
Im Huferfeld;;4583;4582;Beedstraße;Am Walbert;Unterrath;40468;2002;;;;;62
Im Kämpchen;;4178;;Am Heerdter Hof;Nikolaus-Knopp-Pl.;Heerdt;40549;2003;;;;;42
Im Kleinen Winkel;;4589;4688;Angermunder Straße;In den Blamüsen;Angermund;40489;602;;;;;55
Im Liefeld;;4775;;Heerstraße;Seeheimer Weg;Oberbilk;40227;2004;;;;;37
Im Lohauser Feld;;4183;4283;Im Grund;Neusser Weg;Lohausen;40474;2005;;;;;52
Im Luftfeld;;4284;;Annostraße;Annostraße;Kaiserswerth;40489;3511;;;;;53
Immenweg;;4588;4487;Heiderweg;nach Südwesten;Angermund;40489;603;;;;;55
Immermannstraße;;4576;4577;Berliner Allee;Konrad-Adenauer-Pl.;Stadtmitte;40210;2006;;;;;13
Immigrather Straße;;4872;;Odenthaler Weg;nach Westen;Wersten;40591;2007;;;;;91
Im Mühlenbruch;;4588;4688;In den Blamüsen;Im Kleinen Winkel;Angermund;40489;604;;;;;55
Im Rottfeld;;4679;;Grunerstraße;Sybelstraße;Düsseltal;40239;2008;;;;;23
Im Schlank;;4583;4683;Lichtenbroicher Weg;Kieshecker Weg;Unterrath;40472;2009;;;;;62
Im Spich;;4285;;Alte Landstraße;nach Westen;Kaiserswerth;40489;3700;;;;;53
Im Winkel;;5275;;Flachskampstraße;nach Süden, dann Nordw.;Unterbach;40627;795;;;;;84
In den Benden;;4977;;Dreherstraße;Bertastraße;Gerresheim;40625;2011;;;;;71
In den Blamüsen;;4588;4589;Bahnhofstraße;nach Süden;Angermund;40489;605;;;;;55
In den Dellen;;4188;4288;Wittgatt;Hinter den Kämpen;Wittlaer;40489;673;;;;;54
In den Diken;;4781;;Westfalenstraße;Bochumer Straße;Rath;40472;2012;;;;;63
In den Großen Banden;;4673;4674;Werstener Straße;Stoff. Kapellenweg;Wersten;40225;2013;;;;;91
In den Kötten;;5075;;Tannenhofweg;Vennhauser Allee;Vennhausen;40627;2014;;;;;83
In den Maisbanden;;5073;;Büllenkothenweg;nach Nordwesten;Eller;40229;3249;;;;;82
In der Aue;;4672;;Auf'm Rott;nach Südwesten;Wersten;40591;3797;;;;;91
In der Buhlack;;4275;;Hammer Dorfstraße;Am Kuhtor;Hamm;40221;2017;;;;;34
In der Donk;;5072;;Altenbrückstraße;Rathenower Straße;Hassels;40599;2018;;;;;98
In der Elb;;5073;;Deutzer Straße;nach Nordosten;Eller;40229;2019;;;;;82
In der Flieth;;5181;;Am Mergelsberg;nach Westen;Knittkuhl;40629;720;;;;;75
In der Gartenstadt;;4779;;Zur Wildkirsche;Roteichenweg;Mörsenbroich;40470;3435;;;;;64
In der Hött;;4473;;Fleher Straße;Gantenbergweg;Flehe;40223;2021;;;;;38
In der Laak;;4275;;Kapellweg;Heinsenstraße;Hamm;40221;2022;;;;;34
In der Meide;;5076;;Kamper Weg;Katharinenstraße;Gerresheim;40627;2023;;;;;71
In der Nießdonk;;4683;4583;Lichtenbroicher Weg;Eisenbahn;Lichtenbroich;40472;2024;;;;;61
In der Rehwiese;;5180;;Am Tiefenberg;nach Süden;Ludenberg;40629;3731;;;;;73
In der Steele;;5072;5172;Am Schönenkamp;Am Schönenkamp;Hassels;40599;3716;;;;;98
Industriestraße;;4576;4676;Arminstraße;Linienstraße;Oberbilk;40227;2025;;;;;37
Ingeborg-Bachmann-Straße;;5366;;Carlo-Schmid- Straße;Hans-Christoph-Seebohm-Straße;Hellerhof;40595;3592;;;;;102
Ingelheimer Weg;;4775;;Seeheimer Weg;Eisenbahn;Oberbilk;40227;2026;;;;;37
Ingenstau-Straße;siehe Heinz-Ingenstau-Str.;;;;;;;;;;;;
Inkmannstraße;;5071;;Henkelstraße;nach Nordwesten;Reisholz;40599;2027;;;;;94
Inselstraße;;4478;;Kaiserstraße;Joseph-Beuya-Ufer;Pempelfort;40479;2028;;;;;14
Insterburger Weg;;4976;;Posener Straße;Tichauer Weg;Lierenfeld;40231;3170;;;;;81
Irenenstraße;;4482;4581;Wilseder Weg;Kleinschmitthauser Weg;Unterrath;40468;2029;;;;;62
Irisweg;;4588;;Heiderweg;nach Südwesten;Angermund;40489;873;;;;;55
Irlenspahn;siehe Am I.;;;;;;;;;;;;
Irmerstraße;;4381;;Kaiserswerther Straße;Danziger Straße;Stockum;40474;2030;;;;;51
Irmgardstraße;;4878;;Grafenberger Allee;Altenbergstraße;Grafenberg;40235;2031;;;;;72
Isenburgstraße;;5077;5078;Schönaustraße;Unter den Eichen;Gerresheim;40625;2032;;;;;71
Iserlohner Straße;;4781;;Rather Broich;Rotdornstr kreuz. über d. hinaus;Rath;40472;2033;;;;;63
Itterdamm;;4769;;Kölner Weg;RWE Reisholz;Itter;40589;2034;;;;;97
Itterstraße;;4770;4871;Bonner Straße;Am Broichgraben;Holthausen;40589;2035;1;135;2;120;93
Itterstraße;;4770;4871;Bonner Straße;Am Broichgraben;Itter;40589;2035;137;999;122;998;97
Ivo-Beucker-Straße;;4778;;Grafenberger Allee;nach Norden;Düsseltal;40237;3543;;;;;23
Jacobistraße;;4577;;Jägerhofstraße;Schadowstraße;Stadtmitte;40211;2036;1;999;;;13
Jacobistraße;;4577;;Jägerhofstraße;Schadowstraße;Pempelfort;40211;2036;;;2;998;14
Jägerei;;5068;;Urdenbacher Dorfstraße;Bücherstraße;Urdenbach;40593;2037;;;;;96
Jägerhofpassage;;4577;;Landskrone;Hofgartenstr. Ostseite;Stadtmitte;40211;2038;;;;;13
Jägerhofstraße;;4577;;Hofgartenstraße;Jacobistraße;Pempelfort;40479;2039;;;;;14
Jägerstraße;;4975;4874;Zeppelinstraße;Am Hackenbruch;Eller;40231;2040;;;;;82
Jagenbergstraße;;5170;;südwestlich Kleinstr.;Am Wald;Benrath;40597;2041;;;;;95
Jagengrenze;siehe An der J.;;;;;;;;;;;;
Jahnstraße;;4475;4576;Hüttenstraße;Bilker Allee;Friedrichstadt;40215;2042;;;;;31
Jakob-Kneip-Straße;;5266;5366;Emil-Barth-Straße;nach Süden;Garath;40595;2043;;;;;101
James-von-Moltke-Platz;;5267;;Emil-Barth-Straße;Erich-Ollenhauer-Straße;Garath;40595;3844;;;;;101
Jan-Wellem-Passage;;4477;4577;Landskrone;Jan-Wellem-Platz;Stadtmitte;40212;2044;;;;;13
Jan-Wellem-Platz;;4577;;Schadowstraße;August-Thyssen-Straße;Stadtmitte;40212;2045;;;;;13
Janssen-Straße;siehe Peter-J.-Str.;;;;;;;;;;;;
Jaspers-Straße;siehe Karl-J.-Str.;;;;;;;;;;;;
Jean-Paul-Straße;;4780;4880;Wilhelm-Raabe-Straße;Wilhelm-Raabe-Straße;Rath;40470;2046;;;;;63
Jenaer Weg;;4975;;Kamper Weg;Mündrathweg;Vennhausen;40627;2047;;;;;83
Joachim-Erwin-Platz;;5477;;Jan-Wellem-Platz;Schadowplatz;Stadtmitte;40212;3403;;;;;13
Joachimstraße;;4377;4378;Luegallee;Mönchenwerther Straße;Oberkassel;40545;2048;1;43;2;42;41
Joachimstraße;;4377;4378;Luegallee;Mönchenwerther Straße;Niederkassel;40547;2048;45;999;44;998;44
Johannes-Hesse-Straße;;5269;5270;Schimmelpfennigstraße;Schimmelpfennigstraße;Benrath;40597;3278;;;;;95
Johannes-Karsch-Weg;;4387;;Bergesweg;Buschgasser Weg;Wittlaer;40489;674;;;;;54
Johannes-Radke-Straße;;5267;;Peter-Behrens-Straße;nach Norden;Garath;40595;2049;;;;;101
Johannes-Rau-Platz;;4476;;Apollo-Platz;Neusser Straße;Carlstadt;40213;3602;;;;;12
Johannes-Weyer-Straße;;4574;;Witzelstraße;Bruhnstraße;Bilk;40225;2050;;;;;36
Johannsenstraße;;4378;;Niederkasseler Sraße;Mönchenwerther Straße;Niederkassel;40547;3574;;;;;44
Johannstraße;;4580;4480;Danziger Straße;Ulmenstraße;Derendorf;40476;2051;;;;;15
Jordanstraße;;4579;;Annastraße;Tußmannstraße;Pempelfort;40477;2052;;;;;14
Josef-Gockeln-Straße;;4479;;Karl-Arnold-Platz;Georg-Glock-Straße;Golzheim;40474;2053;;;;;16
Josef-Kleesattel-Straße;;5267;5268;Josef-Maria-Olbrich-Straße;nach Süden;Garath;40595;2054;;;;;101
Josef-Knab-Straße;;4380;;Hermann-Weill-Straße;Franz-Jürgens-Straße;Golzheim;40474;2055;;;;;16
Josef-Kürten-Platz;;5168;;Südallee;Kammerrathsfeldstraße;Urdenbach;40593;3414;;;;;95
Josef-Maria-Olbrich-Straße;;5268;;Koblenzer Straße;Hermann-vom-Endt-Straße;Garath;40595;2056;;;;;101
Josef-Neuberger-Straße;;4978;4977;Torfbruchstraße;Diepenstraße;Gerresheim;40625;3510;;;;;71
Josefplatz;;4675;4676;Josefstraße;Ellerstraße;Oberbilk;40227;2057;;;;;37
Josef-Ponten-Straße;;5267;;Emil-Barth-Straße;nach Süden;Garath;40595;2058;;;;;101
Josef-Stick-Straße;;4974;;Von-Krüger-Straße;Von-Krüger-Straße;Eller;40229;2059;;;;;82
Josefstraße;;4675;4676;Kölner Straße;Ellerstraße;Oberbilk;40227;2060;;;;;37
Josef-Wilbert-Straße;;4974;;Ellerkirchstraße;nach Südosten;Eller;40229;3708;;;;;82
Josef-Wilden-Straße;;4282;;Röttgerstraße;Anna-von-Krane-Straße;Lohausen;40474;2061;;;;;52
Josef-Willecke-Straße;;4180;;Am Krummen Weg;Am Krummen Weg;Lörick;40547;3500;;;;;43
Josef-Wimmer-Gasse;;4477;;Burgplatz;Liefergasse;Altstadt;40213;2062;;;;;11
Joseph-Beuys-Ufer;;4478;4477;Schlossufer;Cecilienallee;Altstadt;40213;3794;1;19;2;18;11
Joseph-Beuys-Ufer;;4478;4477;Schlossufer;Cecilienallee;Pempelfort;40479;3794;21;999;20;998;14
Joseph-Brodmann-Straße;;4385;4386;Gandersheimer Straße;Kalkumer Schlossallee;Kaiserswerth;40489;2063;;;;;53
Josephinenstraße;;4576;4577;Steinstraße;Martin-Luther-Platz;Stadtmitte;40212;2064;;;;;13
Joseph-Kardinal-Frings-Brücke;;4174;;Südring;Stadtgrenze;Hamm;40221;2660;;;;;34
Jostenstraße;;5071;;Eichelstraße;Aschaffenburger Straße;Reisholz;40599;2065;;;;;94
Juchacz-Straße;siehe Marie-J.-Str.;;;;;;;;;;;;
Jüchener Weg;;4179;;Grevenbroicher Weg;Niederdonker Straße;Lörick;40547;2066;;;;;43
Jülicher Straße;;4579;4679;Collenbachstraße;Eisenbahnüberführung;Pempelfort;40477;2067;1;999;;;14
Jülicher Straße;;4579;4679;Collenbachstraße;Eisenbahnüberführung;Derendorf;40477;2067;;;2;998;15
Jürgensplatz;;4476;;Reichsstraße;Fürstenwall;Unterbilk;40219;2068;;;;;32
Jürgens-Straße;siehe Franz-J.-Str.;;;;;;;;;;;;
Jugenheimer Weg;;4774;;Seeheimer Weg;Eisenbahn;Oberbilk;40227;2069;;;;;37
Juiststraße;;4482;;Unterrather Straße;Amrumstraße;Unterrath;40468;2070;;;;;62
Julius-Buths-Weg;;5268;;Corellistraße;Hugo-Wilderer-Weg;Urdenbach;40593;2071;;;;;96
Julius-Raschdorff-Straße;;5267;;Peter-Behrens-Straße;nach Norden;Garath;40595;2072;;;;;101
Julius-Rietz-Straße;;5168;;Corellistraße;Corellistraße;Urdenbach;40593;3263;;;;;96
Julo-Levin-Ufer;;4276;4376;Franziusstraße;Wendehammer Speditionstraße;Hafen;40221;3841;;;;;33
Jung-Stilling-Straße;;4380;;Friedrich-Lau-Straße;Tersteegenstraße;Golzheim;40474;2073;;;;;16
Junkersstraße;;4877;;Rosmarinstraße;Hellweg;Flingern Nord;40235;2074;;;;;22
Kaarster Weg;;4179;;Löricker Straße;Grevenbroicher Weg;Lörick;40547;2075;;;;;43
Kämpchen;siehe Im K.;;;;;;;;;;;;
Kämpen;siehe An den K. oder Hinter den K.;;;;;;;;;;;;
Kärntner Weg;;4872;4873;Werstener Dorfstraße;Werstener Friedhofstraße;Wersten;40591;2076;;;;;91
Kaisen-Straße;siehe  Wilhelm-K.-Str.;;;;;;;;;;;;
Kaiserburg;siehe An der K.;;;;;;;;;;;;
Kaiser-Friedrich-Ring;;4279;4378;Luegplatz;Lotharstraße;Oberkassel;40545;2077;1;47;2;36;41
Kaiser-Friedrich-Ring;;4279;4378;Luegplatz;Lotharstraße;Oberkassel;40545;2077;;;                36b;46;41
Kaiser-Friedrich-Ring;;4279;4378;Luegplatz;Lotharstraße;Niederkassel;40545;2077;;;                36a;               36a;44
Kaiser-Friedrich-Ring;;4279;4378;Luegplatz;Lotharstraße;Niederkassel;40547;2077;49;999;48;998;44
Kaiser-Friedrich-Straße;;5070;;Benrather Schlossallee;Marbacher Straße;Benrath;40597;2078;;;;;95
Kaiserslauterner Straße;;4774;4775;Siegburger Straße;Eisenbahn;Oberbilk;40591;2079;;;;;37
Kaiserstraße;;4478;4577;Scheibenstraße;Jägerhofstraße;Pempelfort;40479;2080;;;;;14
Kaiserswerther Markt;;4185;4285;Herbert-Eulenberg-Weg;Sankt-Göres-Straße;Kaiserswerth;40489;2081;;;;;53
Kaiserswerther Straße;;4381;4478;Nordstraße;Freiligrathplatz;Pempelfort;40477;2082;1;67;2;70;14
Kaiserswerther Straße;;4381;4478;Nordstraße;Freiligrathplatz;Golzheim;40476;2082;69;109;72;118;16
Kaiserswerther Straße;;4381;4478;Nordstraße;Freiligrathplatz;Golzheim;40474;2082;111;235;120;226;16
Kaiserswerther Straße;;4381;4478;Nordstraße;Freiligrathplatz;Golzheim;40474;2082;237;377;228;378;16
Kaiserswerther Straße;;4381;4478;Nordstraße;Freiligrathplatz;Stockum;40474;2082;379;999;380;998;51
Kaiser-Wilhelm-Ring;;4377;;Luegplatz;Düsseldorfer Straße;Oberkassel;40545;2083;;;;;41
Kaistraße;;4275;4376;Franziusstraße;Zollhof;Hafen;40221;2084;;;;;33
Kaldenberg;siehe Am K.;;;;;;;;;;;;
Kaldenberger Straße;;4871;4870;Itterstraße;Geeststr. und darüber hinaus;Holthausen;40589;2085;;;;;93
Kalkarer Straße;;4279;;Lotharstraße;nach Nordosten;Niederkassel;40547;3178;;;;;44
Kalkstraße;;4287;4489;Am Brugacker;Rheinuferweg;Wittlaer;40489;675;;;;;54
Kalkumer Schlossallee;;4286;4685;Arnheimer Straße;Alte Kalkumer Straße;Kaiserswerth;40489;2087;1;53;2;54;53
Kalkumer Schlossallee;;4286;4685;Arnheimer Straße;Alte Kalkumer Straße;Kalkum;40489;2087;55;999;56;998;56
Kalkumer Straße;;4481;4482;An der Piwipp;Kieshecker Weg;Unterrath;40468;2088;;;;;62
Kalkumer Weg;;4387;4389;Duisburger Landstraße;Bergesweg;Wittlaer;40489;846;77;999;102;998;54
Kalkumer Weg;;4387;4389;Duisburger Landstraße;Bergesweg;Angermund;40489;846;1;75;2;100;55
Kalkweg;;4489;4689;Rahmer Straße;Heltorfer Schlossallee;Angermund;40489;606;;;;;55
Kallenbachstraße;;5070;;Marbacher Straße;Weststraße;Benrath;40597;2090;;;;;95
Kamenzer Weg;;4976;;Eisenbahn;Gubener Straße;Vennhausen;40627;2091;;;;;83
Kammerrathsfeldstraße;;5168;;Pannebäckerstraße;Koblenzer Straße;Urdenbach;40593;2092;;;;;96
Kampe;siehe Auf dem K.;;;;;;;;;;;;
Kamper Acker;;4871;;Bonner Straße;Henkelstraße;Holthausen;40589;3481;;;;;93
Kamperstraße;;4871;;Bonner Straße;Kiesselbachstraße;Holthausen;40589;2093;;;;;93
Kamper Weg;;4974;5076;Eisenbahn;Glashüttenstraße;Gerresheim;40627;2094;;;252;998;71
Kamper Weg;;4974;5076;Eisenbahn;Glashüttenstraße;Vennhausen;40627;2094;1;999;2;250;83
Kampf-Straße;siehe Arthur-K.-Str.;;;;;;;;;;;;
Kampstraße;;4773;;Kölner Landstraße;Burscheider Straße;Wersten;40591;2095;;;;;91
Kanalstraße;;4378;;Niederkasseler Straße;Kaiser-Friedrich-Ring;Niederkassel;40547;2096;;;;;44
Kanonierstraße;;4480;4579;Tannenstraße;Diedenhofener Str.;Derendorf;40476;2097;;;;;15
Kanzlerstraße;;4881;;Oberrather Straße;Rüdigerstraße;Rath;40472;2098;;;;;63
Kapeller Feld;siehe Am K. F.;;;;;;;;;;;;
Kapeller Hofweg;;5367;;Am Kapeller Feld;nach Osten;Garath;40595;2099;;;;;101
Kapellstraße;;4478;4578;Kaiserstraße;Duisburger Straße;Pempelfort;40479;2100;;;;;14
Kapellweg;;4275;;Fährstraße;Plockstraße;Hamm;40221;2101;;;;;34
Kappeler Straße;;5070;5071;Benrather Schlossallee;Henkelstraße;Reisholz;40599;2102;109;999;110;998;94
Kappeler Straße;;5070;5071;Benrather Schlossallee;Henkelstraße;Benrath;40597;2102;1;103;2;82;95
Kappeler Straße;;5070;5071;Benrather Schlossallee;Henkelstraße;Benrath;40597;2102;105;107;84;108;95
Kapuzinergasse;;4477;;Bolkerstraße;Flinger Straße;Altstadt;40213;2103;;;;;11
Kardinal-Frings-Brücke;siehe Joseph-K.-F.-Brücke;;;;;;;;;;;;
Karl-Anton-Straße;;4577;4677;Stephanienstraße;Kölner Straße;Stadtmitte;40211;2104;;;;;13
Karl-Arnold-Platz;;4479;;Kaiserswerther Str.;Bennigsen-Platz;Golzheim;40474;2105;;;;;16
Karl-Frech-Straße;;4976;;Pastor-Finke-Weg;Gothaer Weg;Vennhausen;40627;3641;;;;;83
Karl-Friedrich-Kless-Straße;;4480;;An der Ulanenkaserne;nach Norden;Derendorf;40476;3491;;;;;15
Karl-Geusen-Straße;;4775;4874;Kölner Straße;Am Turnisch;Oberbilk;40227;2106;1;115;2;60;37
Karl-Geusen-Straße;;4775;4874;Kölner Straße;Am Turnisch;Lierenfeld;40231;2106;117;171;62;154;81
Karl-Geusen-Straße;;4775;4874;Kölner Straße;Am Turnisch;Lierenfeld;40231;2106;173;185;156;998;81
Karl-Geusen-Straße;;4775;4874;Kölner Straße;Am Turnisch;Eller;40231;2106;187;999;;;82
Karl-Heinz-Bott-Weg;;5078;;Gerricusstraße;Steinweg;Gerresheim;40625;3477;;;;;71
Karl-Hohmann-Straße;;5070;5071;Eichelstraße;Münchener Straße;Reisholz;40599;3569;1;39;2;38;94
Karl-Hohmann-Straße;;5070;5071;Eichelstraße;Münchener Straße;Benrath;40597;3569;41;999;40;998;95
Karl-Houben-Straße;;4183;;Henri-Dunant-Str.;An den Vier Winden;Lohausen;40474;3585;;;;;52
Karl-Jaspers-Straße;;5366;;Graf-von-Stauff.-Str.;Wilhelm-Kaisen-Str.;Hellerhof;40595;3643;;;;;102
Karl-Kleppe-Straße;;4380;;Rotterdamer Straße;Erwin-v.-Witzleben-Str.;Golzheim;40474;2107;;;;;16
Karl-Müller-Straße;;4778;;Hans-Sachs-Straße;Sohnstraße;Düsseltal;40237;2108;;;;;23
Karl-Panzner-Weg;;5268;;Corellistraße;Hugo-Wilderer-Weg;Urdenbach;40593;2109;;;;;96
Karlplatz;siehe Carlsplatz;;;;;;;;;;;;
Karl-Röttger-Platz;;4681;4680;östlich Schwietzkestraße ;;Mörsenbroich;40470;3809;;;;;64
Karl-Rudolf-Straße;;4576;;Graf-Adolf-Straße;Hüttenstraße;Friedrichstadt;40215;2111;;;;;31
Karlsbader Straße;;5077;;Torfbruchstraße;nach Südwesten;Gerresheim;40625;3820;;;;;71
Karl-Schurz-Straße;;4474;;Kopernikusstraße;Südring;Bilk;40223;2113;;;;;36
Karlshof;siehe Am K.;;;;;;;;;;;;
Karlsruher Straße;;4873;4974;Werstener Feld;Gumbertstraße;Eller;40229;2114;1;21;2;28;82
Karlsruher Straße;;4873;4974;Werstener Feld;Gumbertstraße;Eller;40229;2114;23;999;30;998;82
Karlstraße;;4576;4677;Stresemannplatz;Worringer Platz;Stadtmitte;40210;2115;;;;;13
Karl-Wagner-Platz;;4777;;Flurstraße;Lichtstraße;Flingern Nord;40235;3785;;;;;22
Karolingerplatz;;4475;;Karolingerstraße;Brunnenstraße;Bilk;40223;2118;;;;;36
Karolingerstraße;;4474;4475;Bachstraße;Karolingerplatz;Bilk;40223;2119;1;81;2;76;36
Karolingerstraße;;4474;4475;Bachstraße;Karolingerplatz;Bilk;40223;2119;83;999;78;998;36
Karsch-Weg;siehe Johannes-K.-W.;;;;;;;;;;;;
